"","X","website","query","titles","location","wage","skills","lon","lat"
"40",755,"Cyber Coders","Data Analyst","Data Analyst","Memphis, TN","Compensation Unspecified","SAS",-90.0489801,35.1495343
"41",756,"Cyber Coders","Data Analyst","Data Analyst","Memphis, TN","Compensation Unspecified","SQL",-90.0489801,35.1495343
"42",757,"Cyber Coders","Data Analyst","Data Analyst for EE Team - Python, UNIX, SAS","Santa Clara, CA","Compensation Unspecified","Data Analyst",-121.9552356,37.3541079
"43",758,"Cyber Coders","Data Analyst","Data Analyst for EE Team - Python, UNIX, SAS","Santa Clara, CA","Compensation Unspecified","JMP",-121.9552356,37.3541079
"44",759,"Cyber Coders","Data Analyst","Data Analyst for EE Team - Python, UNIX, SAS","Santa Clara, CA","Compensation Unspecified","Python",-121.9552356,37.3541079
"45",760,"Cyber Coders","Data Analyst","Data Analyst for EE Team - Python, UNIX, SAS","Santa Clara, CA","Compensation Unspecified","SAS",-121.9552356,37.3541079
"46",761,"Cyber Coders","Data Analyst","Data Analyst for EE Team - Python, UNIX, SAS","Santa Clara, CA","Compensation Unspecified","Unix",-121.9552356,37.3541079
"47",762,"Cyber Coders","Data Analyst","Data Operations Manager - Healthcare","Oakland, CA","Full-time $100k - $130k","Data Analysts",-122.2711639,37.8043514
"48",763,"Cyber Coders","Data Analyst","Data Operations Manager - Healthcare","Oakland, CA","Full-time $100k - $130k","Data Operations",-122.2711639,37.8043514
"49",764,"Cyber Coders","Data Analyst","Data Operations Manager - Healthcare","Oakland, CA","Full-time $100k - $130k","Health Care",-122.2711639,37.8043514
"50",765,"Cyber Coders","Data Analyst","Data Operations Manager - Healthcare","Oakland, CA","Full-time $100k - $130k","Project Management skills",-122.2711639,37.8043514
"51",766,"Cyber Coders","Data Analyst","Data Operations Manager - Healthcare","Oakland, CA","Full-time $100k - $130k","lead projects",-122.2711639,37.8043514
"52",767,"Cyber Coders","Data Analyst","Digital Marketing Analyst - Paid Search, Paid Social Buying","Hoboken, NJ","Full-time $55k - $65k","Account Management",-74.0323626,40.7439905
"53",768,"Cyber Coders","Data Analyst","Digital Marketing Analyst - Paid Search, Paid Social Buying","Hoboken, NJ","Full-time $55k - $65k","Digital Marketing",-74.0323626,40.7439905
"54",769,"Cyber Coders","Data Analyst","Digital Marketing Analyst - Paid Search, Paid Social Buying","Hoboken, NJ","Full-time $55k - $65k","Marketing",-74.0323626,40.7439905
"55",770,"Cyber Coders","Data Analyst","Digital Marketing Analyst - Paid Search, Paid Social Buying","Hoboken, NJ","Full-time $55k - $65k","Paid Search",-74.0323626,40.7439905
"56",771,"Cyber Coders","Data Analyst","Digital Marketing Analyst - Paid Search, Paid Social Buying","Hoboken, NJ","Full-time $55k - $65k","Paid Social Buying",-74.0323626,40.7439905
"57",772,"Cyber Coders","Data Analyst","Digital Marketing Analyst - Paid Search, Paid Social Buying","Newtown Square, PA","Full-time $55k - $65k","Account Management",-75.4007058,39.9868904
"58",773,"Cyber Coders","Data Analyst","Digital Marketing Analyst - Paid Search, Paid Social Buying","Newtown Square, PA","Full-time $55k - $65k","Digital Marketing",-75.4007058,39.9868904
"59",774,"Cyber Coders","Data Analyst","Digital Marketing Analyst - Paid Search, Paid Social Buying","Newtown Square, PA","Full-time $55k - $65k","Marketing",-75.4007058,39.9868904
"60",775,"Cyber Coders","Data Analyst","Digital Marketing Analyst - Paid Search, Paid Social Buying","Newtown Square, PA","Full-time $55k - $65k","Paid Search",-75.4007058,39.9868904
"61",776,"Cyber Coders","Data Analyst","Digital Marketing Analyst - Paid Search, Paid Social Buying","Newtown Square, PA","Full-time $55k - $65k","Paid Social Buying",-75.4007058,39.9868904
"62",777,"Cyber Coders","Data Analyst","Growth Solutions Analyst - SQL, Database Development, C#","Chicago, IL","Compensation Unspecified","C",-87.6297982,41.8781136
"63",778,"Cyber Coders","Data Analyst","Growth Solutions Analyst - SQL, Database Development, C#","Chicago, IL","Compensation Unspecified","Data Definition",-87.6297982,41.8781136
"64",779,"Cyber Coders","Data Analyst","Growth Solutions Analyst - SQL, Database Development, C#","Chicago, IL","Compensation Unspecified","Database Development",-87.6297982,41.8781136
"65",780,"Cyber Coders","Data Analyst","Growth Solutions Analyst - SQL, Database Development, C#","Chicago, IL","Compensation Unspecified","JavaScript",-87.6297982,41.8781136
"66",781,"Cyber Coders","Data Analyst","Growth Solutions Analyst - SQL, Database Development, C#","Chicago, IL","Compensation Unspecified","SQL",-87.6297982,41.8781136
"67",782,"Cyber Coders","Data Analyst","Growth Solutions Analyst - SQL, Database Development, C#","Chicago, IL","Full-time $100k - $130k","C",-87.6297982,41.8781136
"68",783,"Cyber Coders","Data Analyst","Growth Solutions Analyst - SQL, Database Development, C#","Chicago, IL","Full-time $100k - $130k","Data Definition",-87.6297982,41.8781136
"69",784,"Cyber Coders","Data Analyst","Growth Solutions Analyst - SQL, Database Development, C#","Chicago, IL","Full-time $100k - $130k","Database Development",-87.6297982,41.8781136
"70",785,"Cyber Coders","Data Analyst","Growth Solutions Analyst - SQL, Database Development, C#","Chicago, IL","Full-time $100k - $130k","JavaScript",-87.6297982,41.8781136
"71",786,"Cyber Coders","Data Analyst","Growth Solutions Analyst - SQL, Database Development, C#","Chicago, IL","Full-time $100k - $130k","SQL",-87.6297982,41.8781136
"72",787,"Cyber Coders","Data Analyst","IT Data Analyst","Bethlehem, PA","Compensation Unspecified","Business Intelligence",-75.3704579,40.6259316
"73",788,"Cyber Coders","Data Analyst","IT Data Analyst","Bethlehem, PA","Compensation Unspecified","Data",-75.3704579,40.6259316
"74",789,"Cyber Coders","Data Analyst","IT Data Analyst","Bethlehem, PA","Compensation Unspecified","PowerBI",-75.3704579,40.6259316
"75",790,"Cyber Coders","Data Analyst","IT Data Analyst","Bethlehem, PA","Compensation Unspecified","SQL",-75.3704579,40.6259316
"76",791,"Cyber Coders","Data Analyst","IT Data Analyst","Bethlehem, PA","Compensation Unspecified","Tableau",-75.3704579,40.6259316
"77",792,"Cyber Coders","Data Analyst","Information Systems Security Analyst - Policies & Standards","Aurora, CO","Compensation Unspecified","Global Information Security",-104.8319195,39.7294319
"78",793,"Cyber Coders","Data Analyst","Information Systems Security Analyst - Policies & Standards","Aurora, CO","Compensation Unspecified","Information Security",-104.8319195,39.7294319
"79",794,"Cyber Coders","Data Analyst","Information Systems Security Analyst - Policies & Standards","Aurora, CO","Compensation Unspecified","Security Standards",-104.8319195,39.7294319
"80",795,"Cyber Coders","Data Analyst","Information Systems Security Analyst - Policies & Standards","Aurora, CO","Compensation Unspecified","Security policies",-104.8319195,39.7294319
"81",796,"Cyber Coders","Data Analyst","Information Systems Security Analyst - Policies & Standards","Aurora, CO","Compensation Unspecified","Third Party Policy",-104.8319195,39.7294319
"82",797,"Cyber Coders","Data Analyst","Integration Analyst","Raleigh, NC","Full-time $75k - $90k","Data Mapping",-78.6381787,35.7795897
"83",798,"Cyber Coders","Data Analyst","Integration Analyst","Raleigh, NC","Full-time $75k - $90k","Importing/Exporting Data",-78.6381787,35.7795897
"84",799,"Cyber Coders","Data Analyst","Integration Analyst","Raleigh, NC","Full-time $75k - $90k","Rest/Soap",-78.6381787,35.7795897
"85",800,"Cyber Coders","Data Analyst","Integration Analyst","Raleigh, NC","Full-time $75k - $90k","SQL",-78.6381787,35.7795897
"86",801,"Cyber Coders","Data Analyst","Integration Analyst","Raleigh, NC","Full-time $75k - $90k","net technologies",-78.6381787,35.7795897
"87",802,"Cyber Coders","Data Analyst","Manager of Data Operations","Oakland, CA","Full-time $100k - $130k","Data Analysts",-122.2711639,37.8043514
"88",803,"Cyber Coders","Data Analyst","Manager of Data Operations","Oakland, CA","Full-time $100k - $130k","Data Operations",-122.2711639,37.8043514
"89",804,"Cyber Coders","Data Analyst","Manager of Data Operations","Oakland, CA","Full-time $100k - $130k","Health Care",-122.2711639,37.8043514
"90",805,"Cyber Coders","Data Analyst","Manager of Data Operations","Oakland, CA","Full-time $100k - $130k","Project Management skills",-122.2711639,37.8043514
"91",806,"Cyber Coders","Data Analyst","Manager of Data Operations","Oakland, CA","Full-time $100k - $130k","lead projects",-122.2711639,37.8043514
"92",807,"Cyber Coders","Data Analyst","NOC/SOC Analyst","Manchester, TN","Compensation Unspecified","Data Center",-86.0885993,35.4817431
"93",808,"Cyber Coders","Data Analyst","NOC/SOC Analyst","Manchester, TN","Compensation Unspecified","Netowrk Systems",-86.0885993,35.4817431
"94",809,"Cyber Coders","Data Analyst","NOC/SOC Analyst","Manchester, TN","Compensation Unspecified","Security",-86.0885993,35.4817431
"95",810,"Cyber Coders","Data Analyst","Relativity Analyst (Remote)","Mission, KS","Full-time $55k - $80k","Data Analytics",-94.6557914,39.0277832
"96",811,"Cyber Coders","Data Analyst","Relativity Analyst (Remote)","Mission, KS","Full-time $55k - $80k","Microsoft Office",-94.6557914,39.0277832
"97",812,"Cyber Coders","Data Analyst","Relativity Analyst (Remote)","Mission, KS","Full-time $55k - $80k","Relativity Platform",-94.6557914,39.0277832
"98",813,"Cyber Coders","Data Analyst","Relativity Analyst (Remote)","Mission, KS","Full-time $55k - $80k","Trouble-shoot",-94.6557914,39.0277832
"99",814,"Cyber Coders","Data Analyst","Senior Data Analyst","Boston, MA","Full-time $80k - $110k","Clinical Data Analytics",-71.0588801,42.3600825
"100",815,"Cyber Coders","Data Analyst","Senior Data Analyst","Boston, MA","Full-time $80k - $110k","Data Visualization",-71.0588801,42.3600825
"101",816,"Cyber Coders","Data Analyst","Senior Data Analyst","Boston, MA","Full-time $80k - $110k","SAS",-71.0588801,42.3600825
"102",817,"Cyber Coders","Data Analyst","Senior Data Analyst","Boston, MA","Full-time $80k - $110k","SPSS",-71.0588801,42.3600825
"103",818,"Cyber Coders","Data Analyst","Senior Data Analyst","Boston, MA","Full-time $80k - $110k","SQL",-71.0588801,42.3600825
"104",819,"Cyber Coders","Data Analyst","Senior Healthcare Data Analyst","Hoboken, NJ","Full-time $90k - $120k","Claims and EMR Data",-74.0323626,40.7439905
"105",820,"Cyber Coders","Data Analyst","Senior Healthcare Data Analyst","Hoboken, NJ","Full-time $90k - $120k","Data Analysis",-74.0323626,40.7439905
"106",821,"Cyber Coders","Data Analyst","Senior Healthcare Data Analyst","Hoboken, NJ","Full-time $90k - $120k","Health-care",-74.0323626,40.7439905
"107",822,"Cyber Coders","Data Analyst","Senior Healthcare Data Analyst","Hoboken, NJ","Full-time $90k - $120k","Oncology data",-74.0323626,40.7439905
"108",823,"Cyber Coders","Data Analyst","Senior Healthcare Data Analyst","Hoboken, NJ","Full-time $90k - $120k","SAS",-74.0323626,40.7439905
"109",824,"Cyber Coders","Data Analyst","Sr. Data Analyst - Real World Evidence (RWE)","Hoboken, NJ","Full-time $90k - $130k","Claims and EMR Data",-74.0323626,40.7439905
"110",825,"Cyber Coders","Data Analyst","Sr. Data Analyst - Real World Evidence (RWE)","Hoboken, NJ","Full-time $90k - $130k","R",-74.0323626,40.7439905
"111",826,"Cyber Coders","Data Analyst","Sr. Data Analyst - Real World Evidence (RWE)","Hoboken, NJ","Full-time $90k - $130k","Real World Evidence (RWE) data analysis",-74.0323626,40.7439905
"112",827,"Cyber Coders","Data Analyst","Sr. Data Analyst - Real World Evidence (RWE)","Hoboken, NJ","Full-time $90k - $130k","SAS",-74.0323626,40.7439905
"113",828,"Cyber Coders","Data Analyst","Sr. Data Analyst - Real World Evidence (RWE)","Hoboken, NJ","Full-time $90k - $130k","SQL",-74.0323626,40.7439905
"114",829,"Cyber Coders","Data Analyst","Workday Implementation Analyst","Miami, FL","Full-time $90k - $100k","Banking",-80.1917902,25.7616798
"115",830,"Cyber Coders","Data Analyst","Workday Implementation Analyst","Miami, FL","Full-time $90k - $100k","EAP",-80.1917902,25.7616798
"116",831,"Cyber Coders","Data Analyst","Workday Implementation Analyst","Miami, FL","Full-time $90k - $100k","Financial Data Management",-80.1917902,25.7616798
"117",832,"Cyber Coders","Data Analyst","Workday Implementation Analyst","Miami, FL","Full-time $90k - $100k","Procurement",-80.1917902,25.7616798
"118",833,"Cyber Coders","Data Analyst","Workday Implementation Analyst","Miami, FL","Full-time $90k - $100k","Workday",-80.1917902,25.7616798
"119",834,"Cyber Coders","Data Engineer","(100% REMOTE) Sr. Data Engineer (Scala)","New York City, NY","Compensation Unspecified","Airflow",-74.0059728,40.7127753
"120",835,"Cyber Coders","Data Engineer","(100% REMOTE) Sr. Data Engineer (Scala)","New York City, NY","Compensation Unspecified","Machine Learning",-74.0059728,40.7127753
"121",836,"Cyber Coders","Data Engineer","(100% REMOTE) Sr. Data Engineer (Scala)","New York City, NY","Compensation Unspecified","SPARK",-74.0059728,40.7127753
"122",837,"Cyber Coders","Data Engineer","(100% REMOTE) Sr. Data Engineer (Scala)","New York City, NY","Compensation Unspecified","SQL",-74.0059728,40.7127753
"123",838,"Cyber Coders","Data Engineer","(100% REMOTE) Sr. Data Engineer (Scala)","New York City, NY","Compensation Unspecified","Scala",-74.0059728,40.7127753
"124",839,"Cyber Coders","Data Engineer","***Remote*** Data Engineer - Python, R, User Research","Bellevue, WA","Compensation Unspecified","MS Excel",-122.2015159,47.6101497
"125",840,"Cyber Coders","Data Engineer","***Remote*** Data Engineer - Python, R, User Research","Bellevue, WA","Compensation Unspecified","Python",-122.2015159,47.6101497
"126",841,"Cyber Coders","Data Engineer","***Remote*** Data Engineer - Python, R, User Research","Bellevue, WA","Compensation Unspecified","R",-122.2015159,47.6101497
"127",842,"Cyber Coders","Data Engineer","***Remote*** Data Engineer - Python, R, User Research","Bellevue, WA","Compensation Unspecified","SQL",-122.2015159,47.6101497
"128",843,"Cyber Coders","Data Engineer","***Remote*** Data Engineer - Python, R, User Research","Bellevue, WA","Compensation Unspecified","User Research",-122.2015159,47.6101497
"129",844,"Cyber Coders","Data Engineer",".Net Developer","Tucker, GA","Full-time $90k - $100k","ASP.NET",-84.2171424,33.8545479
"130",845,"Cyber Coders","Data Engineer",".Net Developer","Tucker, GA","Full-time $90k - $100k","C",-84.2171424,33.8545479
"131",846,"Cyber Coders","Data Engineer",".Net Developer","Tucker, GA","Full-time $90k - $100k","MVC",-84.2171424,33.8545479
"132",847,"Cyber Coders","Data Engineer",".Net Developer","Tucker, GA","Full-time $90k - $100k","NET",-84.2171424,33.8545479
"133",848,"Cyber Coders","Data Engineer",".Net Developer","Tucker, GA","Full-time $90k - $100k","Software Development",-84.2171424,33.8545479
"134",849,"Cyber Coders","Data Engineer","Android Engineer (Native Android Development)","Chicago, IL","Full-time $100k - $120k","Dagger/Retrofit/Espresso",-87.6297982,41.8781136
"135",850,"Cyber Coders","Data Engineer","Android Engineer (Native Android Development)","Chicago, IL","Full-time $100k - $120k","Java/RxJava",-87.6297982,41.8781136
"136",851,"Cyber Coders","Data Engineer","Android Engineer (Native Android Development)","Chicago, IL","Full-time $100k - $120k","Kotlin",-87.6297982,41.8781136
"137",852,"Cyber Coders","Data Engineer","Android Engineer (Native Android Development)","Chicago, IL","Full-time $100k - $120k","MVVM",-87.6297982,41.8781136
"138",853,"Cyber Coders","Data Engineer","Android Engineer (Native Android Development)","Chicago, IL","Full-time $100k - $120k","Native Android Applications",-87.6297982,41.8781136
"139",854,"Cyber Coders","Data Engineer","Back End Java Developer","North Bethesda, MD","Full-time $100k - $120k","AWS",-77.1188678,39.0445535
"140",855,"Cyber Coders","Data Engineer","Back End Java Developer","North Bethesda, MD","Full-time $100k - $120k","Data Backends",-77.1188678,39.0445535
"141",856,"Cyber Coders","Data Engineer","Back End Java Developer","North Bethesda, MD","Full-time $100k - $120k","Java",-77.1188678,39.0445535
"142",857,"Cyber Coders","Data Engineer","Back End Java Developer","North Bethesda, MD","Full-time $100k - $120k","JavaScript",-77.1188678,39.0445535
"143",858,"Cyber Coders","Data Engineer","Back End Java Developer","North Bethesda, MD","Full-time $100k - $120k","Web Development",-77.1188678,39.0445535
"144",859,"Cyber Coders","Data Engineer","Back-End Scala Engineer","San Mateo, CA","Compensation Unspecified","PostgreSQL",-122.3255254,37.5629917
"145",860,"Cyber Coders","Data Engineer","Back-End Scala Engineer","San Mateo, CA","Compensation Unspecified","RDBMS",-122.3255254,37.5629917
"146",861,"Cyber Coders","Data Engineer","Back-End Scala Engineer","San Mateo, CA","Compensation Unspecified","RabbitMQ",-122.3255254,37.5629917
"147",862,"Cyber Coders","Data Engineer","Back-End Scala Engineer","San Mateo, CA","Compensation Unspecified","SQL",-122.3255254,37.5629917
"148",863,"Cyber Coders","Data Engineer","Back-End Scala Engineer","San Mateo, CA","Compensation Unspecified","Scala",-122.3255254,37.5629917
"149",864,"Cyber Coders","Data Engineer","Backend C# Developer","Cleveland, OH","Full-time $60k - $95k","API",-81.6943605,41.49932
"150",865,"Cyber Coders","Data Engineer","Backend C# Developer","Cleveland, OH","Full-time $60k - $95k","C",-81.6943605,41.49932
"151",866,"Cyber Coders","Data Engineer","Backend C# Developer","Cleveland, OH","Full-time $60k - $95k","Data",-81.6943605,41.49932
"152",867,"Cyber Coders","Data Engineer","Backend C# Developer","Cleveland, OH","Full-time $60k - $95k","Singleton",-81.6943605,41.49932
"153",868,"Cyber Coders","Data Engineer","Backend C# Developer","Cleveland, OH","Full-time $60k - $95k","micro-services",-81.6943605,41.49932
"154",869,"Cyber Coders","Data Engineer","Bioinformatics Production Engineer","Austin, TX","Compensation Unspecified","Bioinformatics",-97.7430608,30.267153
"155",870,"Cyber Coders","Data Engineer","Bioinformatics Production Engineer","Austin, TX","Compensation Unspecified","Data Analysis",-97.7430608,30.267153
"156",871,"Cyber Coders","Data Engineer","Bioinformatics Production Engineer","Austin, TX","Compensation Unspecified","Java or Python",-97.7430608,30.267153
"157",872,"Cyber Coders","Data Engineer","Bioinformatics Production Engineer","Austin, TX","Compensation Unspecified","NGS",-97.7430608,30.267153
"158",873,"Cyber Coders","Data Engineer","Bioinformatics Production Engineer","Austin, TX","Compensation Unspecified","Variant calling",-97.7430608,30.267153
"159",874,"Cyber Coders","Data Engineer","Bioinformatics Production Engineer","Redwood City, CA","Compensation Unspecified","Bioinformatics",-122.2363548,37.4852152
"160",875,"Cyber Coders","Data Engineer","Bioinformatics Production Engineer","Redwood City, CA","Compensation Unspecified","Data Analysis",-122.2363548,37.4852152
"161",876,"Cyber Coders","Data Engineer","Bioinformatics Production Engineer","Redwood City, CA","Compensation Unspecified","Java or Python",-122.2363548,37.4852152
"162",877,"Cyber Coders","Data Engineer","Bioinformatics Production Engineer","Redwood City, CA","Compensation Unspecified","NGS",-122.2363548,37.4852152
"163",878,"Cyber Coders","Data Engineer","Bioinformatics Production Engineer","Redwood City, CA","Compensation Unspecified","Variant calling",-122.2363548,37.4852152
"164",879,"Cyber Coders","Data Engineer","Business Intelligence Developer - (Power BI) - Relo Package","Billings, MT","Full-time $80k - $130k","BI development",-108.5006904,45.7832856
"165",880,"Cyber Coders","Data Engineer","Business Intelligence Developer - (Power BI) - Relo Package","Billings, MT","Full-time $80k - $130k","Data Flows/Data Lakes",-108.5006904,45.7832856
"166",881,"Cyber Coders","Data Engineer","Business Intelligence Developer - (Power BI) - Relo Package","Billings, MT","Full-time $80k - $130k","Microsoft Azure",-108.5006904,45.7832856
"167",882,"Cyber Coders","Data Engineer","Business Intelligence Developer - (Power BI) - Relo Package","Billings, MT","Full-time $80k - $130k","Power BI",-108.5006904,45.7832856
"168",883,"Cyber Coders","Data Engineer","Business Intelligence Developer - (Power BI) - Relo Package","Billings, MT","Full-time $80k - $130k","SQL",-108.5006904,45.7832856
"169",884,"Cyber Coders","Data Engineer","C# Developer (Data structures/Algorithms)","Cleveland, OH","Full-time $65k - $110k","Algorithms",-81.6943605,41.49932
"170",885,"Cyber Coders","Data Engineer","C# Developer (Data structures/Algorithms)","Cleveland, OH","Full-time $65k - $110k","C",-81.6943605,41.49932
"171",886,"Cyber Coders","Data Engineer","C# Developer (Data structures/Algorithms)","Cleveland, OH","Full-time $65k - $110k","Data Structures",-81.6943605,41.49932
"172",887,"Cyber Coders","Data Engineer","C# Developer (Data structures/Algorithms)","Cleveland, OH","Full-time $65k - $110k","Distributed Systems",-81.6943605,41.49932
"173",888,"Cyber Coders","Data Engineer","C# Developer (Data structures/Algorithms)","Cleveland, OH","Full-time $65k - $110k","Serialization",-81.6943605,41.49932
"174",889,"Cyber Coders","Data Engineer","C#/.NET Software Engineer - RELO to Montana","Billings, MT","Full-time $90k - $130k","Application Development",-108.5006904,45.7832856
"175",890,"Cyber Coders","Data Engineer","C#/.NET Software Engineer - RELO to Montana","Billings, MT","Full-time $90k - $130k","C",-108.5006904,45.7832856
"176",891,"Cyber Coders","Data Engineer","C#/.NET Software Engineer - RELO to Montana","Billings, MT","Full-time $90k - $130k","NET",-108.5006904,45.7832856
"177",892,"Cyber Coders","Data Engineer","C#/.NET Software Engineer - RELO to Montana","Billings, MT","Full-time $90k - $130k","SQL Server",-108.5006904,45.7832856
"178",893,"Cyber Coders","Data Engineer","C#/.NET Software Engineer - RELO to Montana","Billings, MT","Full-time $90k - $130k","WPF",-108.5006904,45.7832856
"179",894,"Cyber Coders","Data Engineer","C#/.NET Software Engineer - RELOCATION OFFERED","Billings, MT","Full-time $90k - $130k","Application Development",-108.5006904,45.7832856
"180",895,"Cyber Coders","Data Engineer","C#/.NET Software Engineer - RELOCATION OFFERED","Billings, MT","Full-time $90k - $130k","C",-108.5006904,45.7832856
"181",896,"Cyber Coders","Data Engineer","C#/.NET Software Engineer - RELOCATION OFFERED","Billings, MT","Full-time $90k - $130k","NET",-108.5006904,45.7832856
"182",897,"Cyber Coders","Data Engineer","C#/.NET Software Engineer - RELOCATION OFFERED","Billings, MT","Full-time $90k - $130k","SQL Server",-108.5006904,45.7832856
"183",898,"Cyber Coders","Data Engineer","C#/.NET Software Engineer - RELOCATION OFFERED","Billings, MT","Full-time $90k - $130k","WPF",-108.5006904,45.7832856
"184",899,"Cyber Coders","Data Engineer","Cloud Software Engineer","Sunnyvale, CA","Full-time $150k - $200k","Cloud Application development",-122.0363496,37.36883
"185",900,"Cyber Coders","Data Engineer","Cloud Software Engineer","Sunnyvale, CA","Full-time $150k - $200k","Data Structures",-122.0363496,37.36883
"186",901,"Cyber Coders","Data Engineer","Cloud Software Engineer","Sunnyvale, CA","Full-time $150k - $200k","Go",-122.0363496,37.36883
