web-scraper-order,web-scraper-start-url,link,link-href,load more,load more-href,name,location,salary,skills
"1571593148-819","https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+scientist&location=","3 days ago
Data Scientist

New York
Contractor


My name is Jerald Paul and I am a Senior Technical Recruiter with ACT Consulting. We have an urgent contract opening for a Lead Data Scientist with our direct client located in New York, NY.
ACT ...



Easy Apply","https://www.careerbuilder.com/job/JDF3JJ6FH82QV67ZLK1?ipath=CRJR11","","","Data Scientist","Contractor","$130K","Apache Hadoop"
"1571593114-719","https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+scientist&location=","6 days ago
Data Scientist, Principal

XPO Logistics, Inc.
Ann Arbor
Full Time


At XPO Logistics, we invest hundreds of millions in technology every year so that we can continue to develop state-of-the-art solutions for our customers. Are you looking for an opportunity to take...","https://www.careerbuilder.com/job/J3S82Y6TQF9S1WKJS66?ipath=CRJR27","Load 25 More Jobs","https://www.careerbuilder.com/jobs?keywords=data+scientist&location=&page_number=2","Data Scientist, Principal","Ann Arbor","$110K","Plotly"
"1571593152-829","https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+scientist&location=","5 days ago
Senior Data Scientist

ITAC Solutions, LLC
Birmingham
Full Time


We are looking for a data scientist that will help us discover the information hidden in vast amounts of data and help us make smarter decisions to deliver even better products. Your primary focus ...



Easy Apply","https://www.careerbuilder.com/job/J3M58G72MPCD8S4WKF5?ipath=CRJR9","","","Senior Data Scientist","Birmingham","$68K","Data Mining"
"1571593138-792","https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+scientist&location=","2 days ago
Senior Data Scientist

TEKsystems, Inc
Lansing
Full Time


The main focus for this role is developing/monitoring models used in multivariate analysis, linear modeling and data mining. This would include developing and testing predictive risk models; intera...



Easy Apply","https://www.careerbuilder.com/job/J3N1D877DRQB6QHDM4H?ipath=CRJR15","","","Senior Data Scientist","Lansing","$160K","Multivariate Analysis"
"1571593132-778","https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+scientist&location=","4 days ago
Data Scientist

CoStar Group
Atlanta
Full Time


As a Data Scientist on our analytics and data science team, you will leverage your deep experience in data analysis and data mining to drive significant traffic and user engagement growth for the A...","https://www.careerbuilder.com/job/J3R1YT6GZT4MGTF41XC?ipath=CRJR18","","","Data Scientist","Atlanta","$110K","Pandas"
"1571593160-856","https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+scientist&location=","2 days ago
Data Scientist with Azure Experience-Boston-160K+

Nigel Frank International US
Boston
Full Time


Design, deploy and maintain statistical, predictive and data mining models to translate data into meaningful insights and recommendations across my clients financial, operational and strategic busi...
$160,000 - $170,000 / year


Easy Apply","https://www.careerbuilder.com/job/J3M2L368Y5XCHQSZDN7?ipath=CRJR5","","","Data Scientist with Azure Experience-Boston-160K+","Boston","$170K","Power Bi"
"1571593089-661","https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+scientist&location=","23 days ago
Chief Data Scientist

Jefferson Frank
Chevy Chase
Full Time


My client in Reston, VA is on the search for a Chief Data Scientist. As a Chief Data Scientist you will be leading a team of 4 data scientists and 2 data engineers. You will be building out this de...
£21,001 / year


Easy Apply","https://www.careerbuilder.com/job/J3R4CF68TCC76PXDLDQ?ipath=CRJR38","Load 25 More Jobs","https://www.careerbuilder.com/jobs?keywords=data+scientist&location=&page_number=2","Chief Data Scientist","Chevy Chase","$21K","Apache Hadoop"
"1571593120-737","https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+scientist&location=","6 days ago
Data Scientist

Lucas Group - Search
Orlando
Full Time


The Data Scientist works closely with the Finance, Operations, Business Intelligence, and Investment teams to maintain and improve the data infrastructure and turn data into critical information an...



Easy Apply","https://www.careerbuilder.com/job/J3M1Y6701JX7LDJ4MD4?ipath=CRJR24","","","Data Scientist","Orlando","$83K","Cascading Style Sheets (Css)"
"1571593105-697","https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+scientist&location=","13 days ago
Data Scientist

LMI
Huntsville
Full Time


The selected candidate’s primary responsibility will be to assist LDAC in the capture and implementation of authoritative data sources in synchronization of ALD (Army Leadership Dashboard) effort. ...","https://www.careerbuilder.com/job/J3P6056QYVPNBNK0FQ9?ipath=CRJR31","Load 25 More Jobs","https://www.careerbuilder.com/jobs?keywords=data+scientist&location=&page_number=2","Data Scientist","Huntsville","$89K","Business Intelligence"
"1571593078-629","https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+scientist&location=","26 days ago
Data Scientist

INX International Ink Co.
Schaumburg
Full Time


INX is looking for a Data Scientist who will support our production, sales, leadership and marketing teams with insights gained from analyzing company data. The ideal candidate is adept at using la...



Easy Apply","https://www.careerbuilder.com/job/J2P1YQ6B835PHWXB0S1?ipath=CRJR43","Load 25 More Jobs","https://www.careerbuilder.com/jobs?keywords=data+scientist&location=&page_number=2","Data Scientist","Schaumburg","$100K","Data Mining"
"1571593132-775","https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+scientist&location=","4 days ago
Data Scientist

CoStar Group
Atlanta
Full Time


As a Data Scientist on our analytics and data science team, you will leverage your deep experience in data analysis and data mining to drive significant traffic and user engagement growth for the A...","https://www.careerbuilder.com/job/J3R1YT6GZT4MGTF41XC?ipath=CRJR18","","","Data Scientist","Atlanta","$110K","Tensorflow"
"1571593109-710","https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+scientist&location=","15 days ago
Senior Data Scientist

Robert Half Technology
Fort Worth
Full Time


The Senior Data Scientist will design, develop and implement valuable business solutions for the organization by preparing and cleaning data, designing and coding decision support systems and measu...



Easy Apply","https://www.careerbuilder.com/job/J3Q64T64CV1HJVGBRQH?ipath=CRJR29","Load 25 More Jobs","https://www.careerbuilder.com/jobs?keywords=data+scientist&location=&page_number=2","Senior Data Scientist","Fort Worth","$90K","Data Mining"
"1571593089-656","https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+scientist&location=","23 days ago
Chief Data Scientist

Jefferson Frank
Chevy Chase
Full Time


My client in Reston, VA is on the search for a Chief Data Scientist. As a Chief Data Scientist you will be leading a team of 4 data scientists and 2 data engineers. You will be building out this de...
£21,001 / year


Easy Apply","https://www.careerbuilder.com/job/J3R4CF68TCC76PXDLDQ?ipath=CRJR38","Load 25 More Jobs","https://www.careerbuilder.com/jobs?keywords=data+scientist&location=&page_number=2","Chief Data Scientist","Chevy Chase","$21K","Python (Programming Language)"
"1571593078-634","https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+scientist&location=","26 days ago
Data Scientist

INX International Ink Co.
Schaumburg
Full Time


INX is looking for a Data Scientist who will support our production, sales, leadership and marketing teams with insights gained from analyzing company data. The ideal candidate is adept at using la...



Easy Apply","https://www.careerbuilder.com/job/J2P1YQ6B835PHWXB0S1?ipath=CRJR43","Load 25 More Jobs","https://www.careerbuilder.com/jobs?keywords=data+scientist&location=&page_number=2","Data Scientist","Schaumburg","$100K","Marketing"
"1571593074-619","https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+scientist&location=","C


26 days ago
IT Data Scientist

ConsultNet
Bluffdale
Contractor


A Data Scientist is fully responsible for advising on appropriate use and application of data science methods as well as overseeing the development and implementation of data science solutions. Thi...
$55 - $65 / hour


Easy Apply","https://www.careerbuilder.com/job/J3P6CG5Y165CYGTN1L9?ipath=CRJR45","Load 25 More Jobs","https://www.careerbuilder.com/jobs?keywords=data+scientist&location=&page_number=2","IT Data Scientist","Bluffdale","$60","Random Forest"
"1571593150-823","https://www.careerbuilder.com/jobs?utf8=%E2%9C%93&keywords=data+scientist&location=","3 days ago
Data Scientist

CultureFit Technology Staffing
Chicago
Full Time


We are a multi-brand online consumer lender specializing in installment lending and lines of credit. We are on the cusp of significant growth in the scale of our operations and need you to help us ...
$110,000 - $130,000 / year


Easy Apply","https://www.careerbuilder.com/job/JD87SH64VCW6K2D64WS?ipath=CRJR10","","","Data Scientist","Chicago","$120K","Pandas"
